Должность,Зарплата,Компания,Ссылка,ЗП_От,ЗП_До,Валюта,ЗП_Средняя
Финансовый аналитик (трейдер),Без опыта Можно удалённо,ООО SBAM TRADE,https://spb.hh.ru/vacancy/136736448?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Junior разработчик BI,"70 000 – 110 000 ₽ за месяц, на руки Без опыта Можно удалённо",ООО InfoVizion,https://spb.hh.ru/vacancy/136193666?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,70000.0,110000.0,RUB,90000.0
BI-аналитик,Опыт 1-3 года Можно удалённо,АКРОН ХОЛДИНГ,https://spb.hh.ru/vacancy/136780883?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (логистика),Опыт 1-3 года Можно удалённо,Ozon Офис и Коммерция,https://spb.hh.ru/vacancy/136717650?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик продаж в сеть СПА-салонов,Опыт 1-3 года Можно удалённо,ООО Абаканская Маркетинговая Компания,https://spb.hh.ru/vacancy/136798561?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Data engineer (Стажер),Без опыта Можно удалённо,Sapiens solutions,https://spb.hh.ru/vacancy/136125082?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (ученик),"от 80 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136631416?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,80000.0,,RUB,80000.0
Аналитик данных (финансы),Опыт 1-3 года Можно удалённо,UZUM TECHNOLOGIES. IT,https://spb.hh.ru/vacancy/136703401?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных,Без опыта Можно удалённо,Тарба Виталий Георгиевич,https://spb.hh.ru/vacancy/136535913?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Помощник категорийного менеджера/ аналитик на маркетплейсы,"60 000 – 100 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Изобилие мясо,https://spb.hh.ru/vacancy/136635624?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,60000.0,RUB,60000.0
Data Analyst,Опыт 1-3 года Можно удалённо,Сравни,https://spb.hh.ru/vacancy/136602656?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Маркетинговый аналитик,Опыт 1-3 года Можно удалённо,СВОЙ,https://spb.hh.ru/vacancy/135080574?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик-лингвист (скриптолог),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо Выплаты: Два раза в месяц",KVINT,https://spb.hh.ru/vacancy/136645060?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Младший бизнес-аналитик,Без опыта Можно удалённо,ООО Точка Качества,https://spb.hh.ru/vacancy/134607015?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик маркетплейсов/e-commerce Ozon/WB,"от 90 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ИП Сиванкаева Наталия Сергеевна,https://spb.hh.ru/vacancy/136610719?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,90000.0,,RUB,90000.0
Game Analyst на мобильную RTS,Без опыта Можно удалённо,Gear Games,https://spb.hh.ru/vacancy/135422140?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных,Опыт 1-3 года Можно удалённо,Coleman Group,https://spb.hh.ru/vacancy/135997211?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Младший менеджер проектов в стрим стратегической аналитики,"от 55 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",Яндекс Крауд: Поддержка,https://spb.hh.ru/vacancy/136648644?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,55000.0,,RUB,55000.0
Старший продуктовый аналитик,"100 000 – 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО АэроТур,https://spb.hh.ru/vacancy/136360036?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,100000.0,150000.0,RUB,125000.0
